"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jan 02 15:55:59 GMT 2024","Tue Jan 02 15:55:59 GMT 2024","4","Surefire suite","Surefire test","tests.TestFirstCase","tests.TestFirstCase","openURL","openURL",""
"skipped","Tue Jan 02 15:55:59 GMT 2024","Tue Jan 02 15:55:59 GMT 2024","2","Surefire suite","Surefire test","tests.TestFirstCase","tests.TestFirstCase","userCanFillAndSubmitPracticeFrom","userCanFillAndSubmitPracticeFrom","Заполнение и отправка формы"
