"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Sep 27 05:37:35 GMT 2023","Wed Sep 27 05:37:35 GMT 2023","6","Surefire suite","Surefire test","tests.TestFirstCase","tests.TestFirstCase","openURL","openURL",""
"skipped","Wed Sep 27 05:37:35 GMT 2023","Wed Sep 27 05:37:35 GMT 2023","3","Surefire suite","Surefire test","tests.TestFirstCase","tests.TestFirstCase","userCanFillAndSubmitPracticeFrom","userCanFillAndSubmitPracticeFrom","Заполнение и отправка формы"
