"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Jan 02 16:23:42 GMT 2024","Tue Jan 02 16:23:42 GMT 2024","2","Surefire suite","Surefire test","tests.TestFirstCase","tests.TestFirstCase","userCanFillAndSubmitPracticeFrom","userCanFillAndSubmitPracticeFrom","Заполнение и отправка формы"
"broken","Tue Jan 02 16:23:42 GMT 2024","Tue Jan 02 16:23:42 GMT 2024","5","Surefire suite","Surefire test","tests.TestFirstCase","tests.TestFirstCase","openURL","openURL",""
